index_new,mz,RT,dataset.x,dataset.y,comp1.x,comp1.y,GroupContrib.x,GroupContrib.y,Compound_Name,rev_cosine,ba_lib,syn_lib,Concordance,mean_vip
124,475.30440942248686,3.547727,MSV000089558_18957,MSV000092652_19286,1.956702870779074,2.193732220031979,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0752175454055264
550,422.21374220660783,0.38126826,MSV000089558_4341,MSV000092652_3204,1.9044957131419014,2.215916170404106,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0602059417730034
456,294.1550722960025,0.361267,MSV000089558_4460,MSV000092652_3252,1.9587771475831808,2.155525465444333,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0571513065137568
516,407.2387830703475,2.146213,MSV000089558_10847,MSV000092652_9475,1.8884717297128488,2.2142654647197944,TRUE,TRUE,NA,NA,NA,NA,Yes,2.051368597216322
665,717.2377918150491,2.9377577,MSV000089558_15478,MSV000092652_15284,1.9630453070378007,2.1317887940527047,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0474170505452527
102,460.2441688506039,3.9231956,MSV000089558_23177,MSV000092652_21994,1.9125875728811406,2.1728330137848495,TRUE,TRUE,NA,NA,NA,NA,Yes,2.042710293332995
182,328.13910637458196,0.4936056,MSV000089558_5625,MSV000092652_4463,1.9529441773519378,2.123051255397173,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0379977163745555
536,414.28526421402967,3.9384277,MSV000089558_23102,MSV000092652_22079,1.918166928741233,2.157291556119383,TRUE,TRUE,NA,NA,NA,NA,Yes,2.037729242430308
59,673.248047140215,2.9533598,MSV000089558_15679,MSV000092652_15404,1.961461904117244,2.1083415994567494,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0349017517869967
503,400.26984871771026,3.575522,MSV000089558_18991,MSV000092652_20405,1.8807721655555816,2.186556708117482,TRUE,TRUE,NA,NA,NA,Candidate Carnitine (delta mass 238.1565 putative explanation: CAR 14:2;O2),Yes,2.0336644368365318
342,358.1974431617885,2.337521,MSV000089558_11883,MSV000092652_11145,1.86456552067619,2.1961428641298624,TRUE,TRUE,NA,NA,NA,NA,Yes,2.030354192403026
333,274.139938584154,0.2598029,MSV000089558_1228,MSV000092652_1461,1.8719090804513294,2.177222852372274,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0245659664118016
351,362.21824272036895,3.1075907,MSV000089558_16578,MSV000092652_16446,1.8610263828457894,2.185123797469879,TRUE,TRUE,NA,NA,NA,NA,Yes,2.023075090157834
490,312.11115476809346,0.35305274,MSV000089558_3932,MSV000092652_2862,1.9430729892109253,2.102037688258762,TRUE,TRUE,NA,NA,NA,NA,Yes,2.022555338734844
411,393.2241190293822,0.96228015,MSV000089558_8384,MSV000092652_5756,1.9183027361607305,2.1238937760098198,TRUE,TRUE,NA,NA,NA,NA,Yes,2.021098256085275
661,695.3789955021438,3.2458925,MSV000089558_17617,MSV000092652_17598,1.8991118467119064,2.1322685486379274,TRUE,TRUE,"""Candidate Trihydroxylated bile acid (delta mass 286.0832; sirius atomic difference: 12C, 10H, 6N, 3O; buddy atomic difference: 17C, 10H, 4N, 1O)""",Trihydroxylated bile acid_verrucarol [M+K]+,NA,NA,Yes,2.0156901976749166
526,410.29045210181494,4.216066,MSV000089558_26116,MSV000092652_23162,1.7884774128859513,2.2340725492149676,TRUE,TRUE,NA,NA,NA,"Candidate Carnitine (delta mass 248.1772; sirius atomic difference: 12C, 20H, 6N; buddy atomic difference: 16C, 24H, 2O; putative explanation: CAR 16:3;O)",Yes,2.0112749810504593
8,565.1554807271822,2.4601274,MSV000089558_12483,MSV000092652_11803,1.7578905852175555,2.26311530655968,TRUE,TRUE,Corymboside,NA,NA,NA,Yes,2.010502945888618
415,395.2030472172775,0.54748607,MSV000089558_6154,MSV000092652_4972,1.8598563684768719,2.1582592181391727,TRUE,TRUE,NA,NA,NA,NA,Yes,2.0090577933080223
380,378.2127177038722,2.3350189,MSV000089558_11811,MSV000092652_11032,1.87910508568527,2.1330186168420764,TRUE,TRUE,NA,NA,NA,NA,Yes,2.006061851263673
103,460.2900896199867,3.3961558,MSV000089558_18581,MSV000092652_18634,1.7751575207455748,2.228186260618952,TRUE,TRUE,Glu-C22:5,NA,NA,NA,Yes,2.0016718906822635
199,337.1881347136051,2.169083,MSV000089558_11556,MSV000092652_10017,1.8824419479134322,2.111839750895036,TRUE,TRUE,NA,NA,NA,NA,Yes,1.9971408494042342
270,229.1548817366733,0.3720763,MSV000089558_3777,MSV000092652_3393,1.762796945100128,2.229981572026852,TRUE,TRUE,NA,NA,NA,NA,Yes,1.99638925856349
207,342.26436101035625,4.090479,MSV000089558_24657,MSV000092652_22684,1.7932335541011093,2.1993097802205854,TRUE,TRUE,NA,NA,NA,"Candidate Carnitine (delta mass 180.1514; sirius atomic difference: 12C, 20H, 1O; buddy atomic difference: 12C, 20H, 1O; putative explanation: CAR 12:1)",Yes,1.9962716671608474
64,441.1870460217847,0.51201725,MSV000089558_5627,MSV000092652_4619,1.8993784339214896,2.09270673746031,TRUE,TRUE,NA,NA,NA,NA,Yes,1.9960425856908999
