formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId
1	C4H4N4O3P2	[M + H]+	C4H5N4O3P2+	Alkaloids	0.941	Pseudoalkaloids (transamidation)	0.819	Purine alkaloids	0.778	Organoheterocyclic compounds	0.919	Azoles	0.620					Azoles	0.620	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	218.984	13	0.22	690677557216083613	690677221470432884	1046
1	C11H19N3O5	[M + H]+	C11H20N3O5+	Amino acids and Peptides	0.782	Small peptides	0.581	Imidazole alkaloids	0.501	Organic acids and derivatives	0.720	Carboxylic acids and derivatives	0.656	Amino acids, peptides, and analogues	0.699	Amino acids and derivatives	0.691	Amino acids and derivatives	0.691	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Carboxylic acid amides; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	274.140	13	0.22	690677586592990009	690677227828998078	1228
1	C12H24N2O7	[M + H]+	C12H25N2O7+	Carbohydrates	0.946	Aminosugars and aminoglycosides	0.630	Amino cyclitols	0.623	Organic acids and derivatives	0.932	Carboxylic acids and derivatives	0.951	Amino acids, peptides, and analogues	0.880	Amino acids and derivatives	0.878	Amino acids	0.906	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Primary amines; Secondary amines; Alkanolamines; Aminocyclitols and derivatives; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	309.166	14	0.24	690677567303385222	690677233059295456	1587
1	C8H18N4O2	[M + H]+	C8H19N4O2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	0.999	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.998	Alpha amino acids	0.942	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.150	15	0.24	690677539528703191	690677220367330887	1922
1	C6H13NO5	[M + Na]+	C6H13NNaO5+	Amino acids and Peptides	0.982	Small peptides	0.986	Aminoacids	0.991	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.994	Amino acids and derivatives	0.994	Alpha amino acids	0.937	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Amino fatty acids; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,3-aminoalcohols; Polyols; Alpha amino acids; Amines; Primary amines; Alkanolamines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.069	15	0.24	690677585275978384	690677220249890370	1331
1	C9H15N3O2	[M + H]+	C9H16N3O2+	Amino acids and Peptides	0.925	Small peptides	0.970	Aminoacids	0.737	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.956	Amino acids and derivatives	0.955	Histidine and derivatives	0.767	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.124	15	0.25	690677565642440667	690677220052758077	2961
1	C7H15NO3	[M + H]+	C7H16NO3+	Fatty acids	0.999	Fatty esters	0.817	Fatty acyl carnitines	0.994	Organic acids and derivatives	0.999	Hydroxy acids and derivatives	0.867	Beta hydroxy acids and derivatives	0.794			Beta hydroxy acids and derivatives	0.794	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	162.113	15	0.25	690677533379853416	690677217578118637	2645
1	C10H22N2O4	[M + Na]+	C10H22N2NaO4+	Amino acids and Peptides	0.995	Small peptides	0.992	Dipeptides	0.904	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.983	Peptides	0.777	Dipeptides	0.608	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	257.149	16	0.26	690677567139807327	690677225564073798	1487
1	C11H23NO6	[M + H]+	C11H24NO6+	Amino acids and Peptides	0.995	Amino acid glycosides	0.994	Cyanogenic glycosides	0.993	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.997	Glycosyl compounds	0.941	Cyanogenic glycosides	0.778	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Monoalkylamines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Amines; Primary amines; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.160	16	0.27	690677540807965972	690677226826559367	2857
1	C7H15NO2	[M + H]+	C7H16NO2+	Fatty acids	0.867	Small peptides	0.195	Aminoacids	0.246	Lipids and lipid-like molecules	0.812	Fatty Acyls	0.816	Fatty acids and conjugates	0.715	Straight chain fatty acids	0.713	Straight chain fatty acids	0.713	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.118	16	0.27	690677532184476702	690677217326460392	3228
