RT (min),Intensity_mz_695.3790,Intensity_mz_678.3508,Intensity_mz_700.3328
0.00370683,0,0,0
0.015564964,0,0,0
0.025314865,0,0,0
0.034039865,0,0,0
0.042762663,0,0,0
0.05148773,0,0,0
0.060212562,0,0,0
0.068937597,0,0,0
0.077660395,0,0,0
0.086385295,0,0,0
0.095110263,0,0,0
0.10383523,0,0,0
0.11255808,0,0,0
0.12128311,0,0,0
0.13000793,0,0,0
0.13873081,0,0,0
0.14745575,0,0,0
0.15618071,0,0,0
0.16490563,0,0,0
0.17362868,0,0,0
0.18235343,0,0,0
0.1910785,0,0,0
0.19980333,0,0,0
0.2085263,0,0,0
0.21725113,0,0,0
0.22597612,0,0,0
0.23469893,0,0,0
0.243424,0,0,0
0.25214883,0,0,0
0.26087411,0,0,0
0.26959677,0,0,0
0.2783216,0,0,0
0.28704653,0,0,0
0.29577154,0,0,0
0.30449433,0,0,0
0.31321941,0,0,0
0.32194421,0,0,0
0.33066716,0,0,0
0.33939203,0,0,0
0.34811701,0,0,0
0.35684193,0,924.5437012,0
0.36556491,0,0,0
0.37428973,0,0,0
0.38301476,0,0,0
0.39173963,0,0,0
0.40046253,0,0,0
0.40918743,0,0,0
0.41791241,0,0,0
0.42663731,0,0,0
0.43536019,0,0,0
0.44408513,0,0,0
0.45281016,0,0,0
0.46153293,0,0,0
0.47025793,0,0,0
0.47898281,0,0,0
0.48770782,0,0,0
0.49643063,0,0,0
0.50515561,0,0,0
0.51388051,0,0,0
0.52260551,0,0,0
0.53132831,0,0,0
0.54005328,0,0,0
0.54877823,0,0,0
0.5575011,0,0,0
0.56622602,0,0,0
0.57495099,0,0,0
0.58367591,0,0,0
0.59239905,0,0,0
0.60112371,0,0,0
0.6098487,0,0,0
0.61857361,0,0,0
0.6272965,0,0,0
0.63602141,0,0,0
0.6447464,0,0,0
0.65347133,0,0,0
0.6621942,32156.62109,0,0
0.67091911,86371.54688,0,0
0.6796441,72457.44531,0,0
0.68836693,60196.75391,0,0
0.69709191,57918.80859,0,0
0.7058168,36131.60938,0,0
0.7145418,0,0,0
0.72326463,0,0,0
0.73198958,0,0,0
0.74071453,0,0,0
0.74943948,0,0,0
0.7581623,0,0,0
0.76688748,0,0,0
0.77561221,0,0,0
0.78433513,0,0,0
0.79306001,0,0,0
0.801785,0,0,0
0.8105099,0,0,0
0.8192328,0,0,0
0.8279577,0,0,0
0.83668273,0,0,0
