Retention time,Base peak intensity
0.007955617,1672.851807
0.015026365,0
0.1376798,0
0.143360898,2635.260986
0.147817031,0
0.152275324,1959.820313
0.156731561,0
0.165646031,0
0.170104414,2057.74707
0.174560726,0
0.202087924,0
0.206543729,2487.226318
0.211002231,0
0.290432721,0
0.310386807,1952.837036
0.330472112,2522.563232
0.336053461,2159.546875
0.340511829,0
0.344967872,0
0.349609494,3625.418945
0.354068041,0
3.004575968,0
3.032171965,91484.64063
3.061782122,0
3.25738287,0
3.286784649,194117.4375
3.314680338,150273.1406
3.342353344,0
3.597024441,0
3.626605511,100882.9609
3.654419899,0
3.767471313,0
3.796989918,2026568.75
3.824831247,2054973.875
3.852639437,2.29E+07
3.880253792,2.72E+07
3.908064127,6084120.5
3.936024427,2434894.75
3.965182781,696053.25
3.993044853,1997293.25
4.020846844,228043.3438
4.050458908,1528320.875
4.078252792,246857.5938
4.106041908,0
4.133704185,5.87E+07
4.161581516,4.12E+08
4.189670563,4.05E+07
4.218704224,8345609
4.24650383,3182513.25
4.274280548,1889084.5
4.302055836,1308114.875
4.330000877,922071.5625
4.357682228,646527.125
4.385324001,757934.75
4.413163185,392273.7188
4.44098568,380608.7813
4.468954563,450072.875
4.496635437,476309.4375
4.524349689,254249.2188
4.553901672,369649.2813
4.581616402,284666.6563
4.609324455,247330.5938
4.637253284,0
4.664959431,298352.625
4.692851067,280464.9375
4.720600605,0
4.748454571,0
4.776466846,90589.39844
4.804889679,118657.0313
4.832768917,156906.7656
4.860527039,88605.38281
4.889845371,0
4.917745113,191136.5313
4.945545197,85412.76563
4.97517395,105692.3516
5.003115654,40210.42578
5.030940533,72463.85938
5.058719635,80267.04688
5.086425304,260685.3906
5.114360809,135176.2031
5.144071102,66321.64063
5.171956062,38006.50781
5.199816227,64363.33594
5.229300022,54586.84375
5.257307529,37422.34375
5.285244942,0
5.313163757,157464.4063
5.341127872,0
5.398671627,0
5.42647171,27645.49023
5.456110954,0
5.484198093,26042.48828
5.512078762,71291.46094
5.540166378,50333.85938
5.568047523,85896.61719
5.596095562,19829.21289
5.62566185,0
5.653471947,37841.16406
5.681499004,0
5.709567547,22909.32031
5.737692356,0
5.795746326,0
5.823552132,26639.39648
5.851385117,0
5.964844704,0
5.992955208,16627.22852
6.02098608,0
8.792724609,0
8.821066856,4436.122559
8.849410057,0
9.966223717,0
9.971696854,2145.140625
9.98060894,0
9.987397194,0
9.996311188,2425.62793
