SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MOI_C1_D21_Hypo2_1,NA,NA,1,B21,FALSE,2,1,Infant
MOI_C1_D7_Hypo2_1,NA,NA,1,B7,FALSE,2,1,Infant
MO_C1_D21_Hypo3_1,NA,NA,1,B21,FALSE,3,1,Mother
MOI_C1_D21_Hypo3_1,NA,NA,1,B21,FALSE,3,1,Infant
MO_C1_D21_Hypo3_2,NA,NA,1,B21,FALSE,3,2,Mother
MOI_C1_D7_Hypo1_2,MOI_C1_D7,7,1,B7,TRUE,1,2,Infant
MOI_C1_D21_Hypo1_2,MOI_C1_D21,7,1,B21,TRUE,1,2,Infant
MOI_C1_D14_Hypo1_2,MOI_C1_D14,7,1,B14,TRUE,1,2,Infant
MOI_C1_D10_Hypo3_1,MOI_C1_D10,5,1,B10,FALSE,3,1,Infant
MOI_C1_B21_Hypo1_1,MOI_C1_B21,3,1,B21,FALSE,1,1,Infant
MO_C1_G18_Hypo1_2,MO_C1_G18,7,1,E18,TRUE,1,2,Mother
MO_C1_G16_Hypo1_2,MO_C1_G16,7,1,E16,TRUE,1,2,Mother
MO_C1_E18_Hypo1_1,MO_C1_E18,1,1,E18,FALSE,1,1,Mother
MO_C1_E17_Hypo1_1,MO_C1_E17,1,1,E17,FALSE,1,1,Mother
MO_C1_E16_Hypo1_1,MO_C1_E16,1,1,E16,FALSE,1,1,Mother
MO_C1_D7_Hypo1_2,MO_C1_D7,7,1,B7,TRUE,1,2,Mother
MO_C1_D21_Hypo1_2,MO_C1_D21,7,1,B21,TRUE,1,2,Mother
MO_C1_D14_Hypo1_2,MO_C1_D14,7,1,B14,TRUE,1,2,Mother
MO_C1_D10_Hypo3_1,MO_C1_D10,5,1,B10,FALSE,3,1,Mother
MO_C1_D10_Hypo3_2,MO_C1_D10,6,1,B10,FALSE,3,2,Mother
MO_C1_D1_Hypo1_2,MO_C1_D1,7,1,B1,TRUE,1,2,Mother
MO_C1_D1_Hypo3_1,MO_C1_D1,5,1,B1,FALSE,3,1,Mother
MO_C1_D1_Hypo3_2,MO_C1_D1,6,1,B1,FALSE,3,2,Mother
MO_C1_B7_Hypo1_1,MO_C1_B7,3,1,B7,FALSE,1,1,Mother
MO_C1_B7_Hypo2_1,MO_C1_B7,2,1,B7,FALSE,2,1,Mother
MO_C1_B3_Hypo2_1,MO_C1_B3,2,1,B3,FALSE,2,1,Mother
MO_C1_B21_Hypo2_1,MO_C1_B21,2,1,B21,FALSE,2,1,Mother
MO_C1_B21_Hypo1_1,MO_C1_B21,3,1,B21,FALSE,1,1,Mother
MO_C1_B2_Hypo1_1,MO_C1_B2,3,1,B2,FALSE,1,1,Mother
MO_C1_B2_Hypo2_1,MO_C1_B2,2,1,B2,FALSE,2,1,Mother
MO_C1_B14_Hypo1_1,MO_C1_B14,3,1,B14,FALSE,1,1,Mother
