animalID,SampleID,Sample,AMP,Days_Post_Birth,Cage.x,Hypothesis.x
ME_C1_E18_1,MO_C1_E18_Hypo1_1,ME_C1-E18,FALSE,-1,1,1
ME_C1_E16_1,MO_C1_E16_Hypo1_1,ME_C1-E16,FALSE,-3,1,1
ME_C1_B7_2,MO_C1_B7_Hypo2_1,ME_C1_B7,FALSE,7,1,2
ME_C1_B21_2,MO_C1_B21_Hypo2_1,ME_C1_B21,FALSE,21,1,2
ME_C1_B2_1,MO_C1_B2_Hypo1_1,ME_C1-B2,FALSE,2,1,1
ME_C1_B2_2,MO_C1_B2_Hypo2_1,ME_C1_B2,FALSE,2,1,2
ME_C1_B14_1,MO_C1_B14_Hypo1_1,ME_C1-B14,FALSE,14,1,1
ME_C1_B14_2,MO_C1_B14_Hypo2_1,ME_C1_B14,FALSE,14,1,2
ME_C1_B1_1,MO_C1_B1_Hypo1_1,ME_C1-B1,FALSE,1,1,1
ME_C2_E18_1,MO_C2_E18_Hypo1_1,ME_C2-E18,FALSE,-1,2,1
ME_C2_E17_1,MO_C2_E17_Hypo1_1,ME_C2-E17,FALSE,-2,2,1
ME_C2_E16_1,MO_C2_E16_Hypo1_1,ME_C2-E16,FALSE,-3,2,1
ME_C2_B2_1,MO_C2_B2_Hypo1_1,ME_C2-B2,FALSE,2,2,1
ME_C2_B1_1,MO_C2_B1_Hypo1_1,ME_C2-B1,FALSE,1,2,1
ME_C3_E18_1,MO_C3_E18_Hypo1_1,ME_C3-E18,FALSE,-1,3,1
ME_C3_E17_1,MO_C3_E17_Hypo1_1,ME_C3-E17,FALSE,-2,3,1
ME_C3_E16_1,MO_C3_E16_Hypo1_1,ME_C3-E16,FALSE,-3,3,1
ME_C3_B7_1,MO_C3_B7_Hypo1_1,ME_C3-B7,FALSE,7,3,1
ME_C3_B21_1,MO_C3_B21_Hypo1_1,ME_C3-B21,FALSE,21,3,1
ME_C3_B2_1,MO_C3_B2_Hypo1_1,ME_C3-B2,FALSE,2,3,1
ME_C3_B14_1,MO_C3_B14_Hypo1_1,ME_C3-B14,FALSE,14,3,1
ME_C3_B1_1,MO_C3_B1_Hypo1_1,ME_C3-B1,FALSE,1,3,1
ME_C4_E18_1,MO_C4_E18_Hypo1_1,ME_C4-E18,FALSE,-1,4,1
ME_C4_E17_1,MO_C4_E17_Hypo1_1,ME_C4-E17,FALSE,-2,4,1
ME_C4_E16_1,MO_C4_E16_Hypo1_1,ME_C4-E16,FALSE,-3,4,1
ME_C4_B7_1,MO_C4_B7_Hypo1_1,ME_C4-B7,FALSE,7,4,1
ME_C4_B7_2,MO_C4_B7_Hypo2_1,ME_C4_B7,FALSE,7,4,2
ME_C4_B21_1,MO_C4_B21_Hypo1_1,ME_C4-B21,FALSE,21,4,1
ME_C4_B2_1,MO_C4_B2_Hypo1_1,ME_C4-B2,FALSE,2,4,1
ME_C4_B14_2,MO_C4_B14_Hypo2_1,ME_C4_B14,FALSE,14,4,2
ME_C4_B14_1,MO_C4_B14_Hypo1_1,ME_C4-B14,FALSE,14,4,1
ME_C4_B1_2,MO_C4_B1_Hypo2_1,ME_C4_B1,FALSE,1,4,2
ME_C4_B1_1,MO_C4_B1_Hypo1_1,ME_C4-B1,FALSE,1,4,1
ME_C5_E17_1,MO_C5_E17_Hypo1_1,ME_C5-E17,FALSE,-2,5,1
ME_C5_E16_1,MO_C5_E16_Hypo1_1,ME_C5-E16,FALSE,-3,5,1
ME_C5_B7_2,MO_C5_B7_Hypo2_1,ME_C5_B7,TRUE,7,5,2
ME_C5_B3_2,MO_C5_B3_Hypo2_1,ME_C5_B3,TRUE,3,5,2
ME_C5_B21_2,MO_C5_B21_Hypo2_1,ME_C5_B21,TRUE,21,5,2
ME_C5_B2_2,MO_C5_B2_Hypo2_1,ME_C5_B2,TRUE,2,5,2
ME_C5_B1_2,MO_C5_B1_Hypo2_1,ME_C5_B1,TRUE,1,5,2
ME_C5_B1_1,MO_C5_B1_Hypo1_1,ME_C5-B1,FALSE,1,5,1
ME_C6_E17_1,MO_C6_E17_Hypo1_1,ME_C6-E17,TRUE,-2,6,1
ME_C6_E16_1,MO_C6_E16_Hypo1_1,ME_C6-E16,TRUE,-3,6,1
ME_C6_B7_2,MO_C6_B7_Hypo2_1,ME_C6_B7,TRUE,7,6,2
ME_C6_B7_1,MO_C6_B7_Hypo1_1,ME_C6-B7,TRUE,7,6,1
ME_C6_B3_2,MO_C6_B3_Hypo2_1,ME_C6_B3,TRUE,3,6,2
ME_C6_B21_2,MO_C6_B21_Hypo2_1,ME_C6_B21,TRUE,21,6,2
ME_C6_B21_1,MO_C6_B21_Hypo1_1,ME_C6-B21,TRUE,21,6,1
ME_C6_B2_1,MO_C6_B2_Hypo1_1,ME_C6-B2,TRUE,2,6,1
